canonical_smiles,molecule_chembl_id,Ki_nM,assay_chembl_id,pIC50
C=CCN1CCC[C@H]1CNC(=O)c1cc(I)cc(OC)c1OC,CHEMBL241169,0.71,CHEMBL941850,9.148741651280925
CCOC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1,CHEMBL3982486,0.71,CHEMBL3872755,9.148741651280925
N#Cc1cnn2ccc(NC(=O)CCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc12,CHEMBL4091064,0.7150000000000001,CHEMBL4010156,9.145693958198919
CC(C)N(C(=O)N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)C(C)C,CHEMBL3900752,0.72,CHEMBL3872755,9.142667503568731
Cc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,CHEMBL2104700,0.7244,CHEMBL4416273,9.14002155835798
CN1CCN(C2Cc3ccccc3Sc3ccc(-c4cncnc4)cc32)CC1,CHEMBL1259042,0.73,CHEMBL1261591,9.136677139879545
COc1ccccc1N1CCN(CCCC(=O)Nc2ccn3ncc(/C=N\O)c3c2)CC1,CHEMBL4096353,0.745,CHEMBL4010156,9.127843727251706
CCc1cccc(N2CCN(CC[C@H]3CC[C@H](NC(=O)N(C)C)CC3)CC2)c1Cl,CHEMBL5415846,0.75,CHEMBL5381008,9.1249387366083
FC(F)(F)c1cccc(N2CCN(CCCCNc3cc(-c4ccccc4)ccn3)CC2)c1,CHEMBL1223857,0.76,CHEMBL1225816,9.119186407719209
O=C1CCc2ccc(OCCCCN3CCN(c4ccc(O)c5c4OCC(=O)N5)CC3)cc2N1,CHEMBL4072780,0.77,CHEMBL4015806,9.113509274827518
CN(C)C(=O)NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,CHEMBL5986307,0.78,CHEMBL5730969,9.10790539730952
O=Cc1cnn2ccc(OCCCCN3CCN(c4ccc(O)c5[nH]c(=O)ccc45)CC3)cc12,CHEMBL4103639,0.79,CHEMBL4046973,9.102372908709558
CCN(Cc1ccc(-c2cc(S(=O)(=O)CC)ccc2OC)[nH]1)C1CCc2ccccc21,CHEMBL323817,0.7943,CHEMBL674353,9.100015437450608
CCN(Cc1ccccc1)Cc1ccc(-c2cc(S(=O)(=O)CC)ccc2OC)[nH]1,CHEMBL21967,0.7943,CHEMBL674353,9.100015437450608
O=C(Nc1ccco1)N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1,CHEMBL6031258,0.8,CHEMBL5730969,9.096910013008056
O=C(NCCN1CC=C(c2cccc(C(F)(F)F)n2)CC1)C1CCOCC1,CHEMBL5871654,0.8,CHEMBL5736831,9.096910013008056
COc1ccccc1N1CCN(CCCCNc2ccccn2)CC1,CHEMBL1223615,0.8,CHEMBL1225816,9.096910013008056
O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,CHEMBL1108,0.802,CHEMBL1909140,9.095825631715837
O=C1CCc2ccc(OCCCCN3CCN(c4cccc5ccccc45)CC3)nc2N1,CHEMBL1774080,0.81,CHEMBL1776016,9.09151498112135
Cc1cc2c(cc1OCCCCN1CCN(c3cccc4cc(F)ccc34)CC1)C(=O)NC2,CHEMBL1258087,0.812,CHEMBL1260558,9.090443970758825
O=C(N[C@H]1CC[C@@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1ccco1,CHEMBL3950977,0.82,CHEMBL3872755,9.086186147616283
COc1ccccc1N1CCN(CCCC(=O)Nc2ccn3ncc(C#N)c3c2)CC1,CHEMBL4070091,0.8250000000000001,CHEMBL4010156,9.083546051450075
CCCN(CCc1ccc(NC(=O)CCC(=O)NCCCC[C@H](NC(C)=O)C(=O)NCCCC[C@H](NC(C)=O)C(=O)NCCCCCCNC(=O)c2nn(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)c2C)cc1)C1CCc2c(O)cccc2C1,CHEMBL4467984,0.84,CHEMBL4368754,9.075720713938118
O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)C1CC1,CHEMBL3956720,0.85,CHEMBL3872755,9.070581074285707
O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1cccnc1,CHEMBL3967779,0.85,CHEMBL3872755,9.070581074285707
CN1CCN(C2Cc3ccccc3Sc3ccc(-c4ccnn4C)cc32)CC1,CHEMBL1259231,0.86,CHEMBL1261591,9.065501548756432
C=CCN1CCC[C@H]1CNC(=O)c1cc(Br)cc(OC)c1OC,CHEMBL240106,0.865,CHEMBL941850,9.062983892535186
CC(C)Oc1ccccc1N1CCCN(CCCCOc2ccc3c(c2)NC(=O)CC3)CC1,CHEMBL3952761,0.87,CHEMBL3887359,9.060480747381382
CCc1cccc(N2CCN(CC[C@H]3CC[C@H](NC(=O)N4CCc5ncccc5C4)CC3)CC2)c1Cl,CHEMBL5404807,0.87,CHEMBL5381008,9.060480747381382
