canonical_smiles,molecule_chembl_id,IC50_nM,assay_chembl_id,pIC50
Cc1cccc(Nc2ncnc3ccc(NC(=S)NCc4ccccc4)cc23)c1,CHEMBL4072769,36.8,CHEMBL4011053,7.434152181326482
C=C(Cl)C(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3)ncc2Cl)c1,CHEMBL4793105,36.95,CHEMBL4730144,7.432385557269155
Cc1nc(F)ccc1[C@H](Nc1cc(C#N)c2ncc(C#N)c(NC3CCCCC3)c2c1)C1=CN(C2(C(F)(F)F)CC2)NN1,CHEMBL5885717,37.0,CHEMBL5736995,7.431798275933005
CCS(=O)(=O)Nc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)s1,CHEMBL5414141,37.0,CHEMBL5374826,7.431798275933005
Cn1cnc([C@H](Nc2cc(Cl)c3ncc(C#N)c(Nc4ccc(F)c(Cl)c4)c3c2)C2=CNNN2)c1,CHEMBL5857449,37.0,CHEMBL5736995,7.431798275933005
O=C(CN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL4166069,37.0,CHEMBL4156805,7.431798275933005
C=CC(=O)Nc1cccc(Oc2cc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncn2)c1,CHEMBL1928947,37.0,CHEMBL1932747,7.431798275933005
CCC/C=C\C(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,CHEMBL4553685,37.0,CHEMBL4411959,7.431798275933005
CCN1CCC(N2C=C([C@H](c3cscn3)N(CC)c3cc(Cl)c4ncc(C#N)c(Nc5ccc(F)c(Cl)c5)c4c3)NN2)CC1,CHEMBL5880020,37.0,CHEMBL5736995,7.431798275933005
Cc1ncoc1[C@H](Nc1cc(C#N)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(C2(C(F)F)CC2)NN1,CHEMBL5833420,37.0,CHEMBL5736995,7.431798275933005
Cc1cc(Cl)ncc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2c1)C1=CN(C2CCN(C(C)(C)C)CC2)NN1,CHEMBL5978804,37.0,CHEMBL5736995,7.431798275933005
CN(C)CCN/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,CHEMBL225720,37.0,CHEMBL904734,7.431798275933005
CCn1ncc2cc(Nc3nccc(-c4cn(S(=O)(=O)CC)c5ccccc45)n3)cc(NC(=O)C(C)C)c21,CHEMBL5398953,37.0,CHEMBL5341566,7.431798275933005
CCN1Cc2ccc([C@H](Nc3cc(Cl)c4ncc(C#N)c(Nc5ccc(F)c(Cl)c5)c4c3)C3=CN(C4CCN(C(C)(C)C)CC4)NN3)cc2C1,CHEMBL5792679,37.0,CHEMBL5736995,7.431798275933005
COc1ccc2nc(Cl)c(/C=C/C(=O)c3ccc(C)cc3)cc2c1,CHEMBL5274305,37.07,CHEMBL5232559,7.430977413970436
Nc1ncnc2c1c(C(=O)Nc1nc3cc(Cl)ccc3o1)cn2[C@@H]1CCN(C(=O)/C=C/CN2CCCCC2)C1,CHEMBL5994959,37.1,CHEMBL5731481,7.430626090384954
COc1cc2c(Nc3cc(NC(=O)C(c4ccccc4)N4Cc5ccccc5C4=O)ccc3F)ncnc2cc1OCC1CCN(C)CC1,CHEMBL4471235,37.1,CHEMBL4398796,7.430626090384954
CCOc1cc2ncnc(Nc3cccc(OC)c3)c2c2c1OCCO2,CHEMBL3805774,37.2,CHEMBL3807186,7.429457060118103
COc1ccc(NC(=O)C2=C(C)NC(=O)NC2c2ccc(OCc3ccccc3)c(OC)c2)c(OC)c1,CHEMBL5597898,37.21,CHEMBL5585678,7.429340329978466
C=CC(=O)N1CC(Nc2cncc(-c3cnc(Nc4ccc(F)c(Cl)c4)nc3)n2)C1,CHEMBL5975268,37.3,CHEMBL5738864,7.428291168191312
C=CC(=O)N1CC[C@@H](n2nc(C(=O)Nc3nc4cc(C#N)ccc4o3)c3c(N)ncnc32)C1,CHEMBL5971352,37.5,CHEMBL5731481,7.425968732272281
COc1ccc(F)cc1-c1cc(C(=O)/N=c2\[nH]c3ccccc3n2[C@H]2CC[C@@H](O)CC2)ccn1,CHEMBL5893107,37.5,CHEMBL5737540,7.425968732272281
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)CCN1CCOCC1,CHEMBL2031313,37.5,CHEMBL2033041,7.425968732272281
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OCCCCNCc1c(OC)cc(OCc2cccc(-c3ccccc3)c2C)cc1OC,CHEMBL5559947,37.5,CHEMBL5511075,7.425968732272281
CC(C)Cn1/c(=N/C(=O)c2ccnc(-c3cnn(C)c3)c2)[nH]c2ccccc21,CHEMBL5893361,37.55,CHEMBL5737539,7.425390058659813
CC(C)Oc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2c2c1OCCO2,CHEMBL3805283,37.69,CHEMBL3807186,7.423773862550395
O=C(NO)c1ccsc1Nc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1Cl,CHEMBL5563885,37.95,CHEMBL5519577,7.420788219768501
Cn1cncc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2c1)C1=CN(C2CCN(C(C)(C)C)CC2)NN1,CHEMBL5806894,38.0,CHEMBL5736995,7.42021640338319
